,swath_overlap,master,center_lat,center_lon,center_time,center_range,az_pix,heading,incidence,dfDC,ka,tecs_A,tecs_B,Hiono,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N,GPS_N,GPS_E,GPS_RMSE_E,GPS_RMSE_N,slope_plates_vel_azi_itrf2014,slope_plates_vel_azi_gps,count_all,daz_bovl_RMSE_selection,daz_bovl_count_selection,daz_bovl_RMSE_full,slope_daz_bovl_mmyear,intercept_daz_bovl_mmyear,daz_bovl_RMSE_mmy_full,daz_bovl_RMSE_mmy_full_error_multi,daz_bovl_noiono_RMSE_selection,daz_bovl_noiono_count_selection,daz_bovl_noiono_RMSE_full,slope_daz_bovl_noiono_mmyear,intercept_daz_bovl_noiono_mmyear,daz_bovl_noiono_RMSE_mmy_full,daz_bovl_noiono_RMSE_mmy_full_error_multi,daz_bovl_notide_RMSE_selection,daz_bovl_notide_count_selection,daz_bovl_notide_RMSE_full,slope_daz_bovl_notide_mmyear,intercept_daz_bovl_notide_mmyear,daz_bovl_notide_RMSE_mmy_full,daz_bovl_notide_RMSE_mmy_full_error_multi,daz_bovl_notide_noiono_RMSE_selection,daz_bovl_notide_noiono_count_selection,daz_bovl_notide_noiono_RMSE_full,slope_daz_bovl_notide_noiono_mmyear,intercept_daz_bovl_notide_noiono_mmyear,daz_bovl_notide_noiono_RMSE_mmy_full,daz_bovl_notide_noiono_RMSE_mmy_full_error_multi
28,2-4,2020-09-05,39.658292,74.722236,12:58:35.644689,875670.65145,13.9373,-10.0259800892,39.3206043948,4024.905294436567,-2119.867689728884,9.940340999099154e+16,9.910068165644403e+16,450.0,1.9,28.868888888888893,0.0317979733805647,0.1991858428704208,18.8335,28.322000000000003,1.844994128265273,3.810922416773486,-3.1549358798401297,13.615181631757402,206,19.81792032032231,135,53.17130500418018,4.494599025287615,-17.814053692074214,1.8244974055753662,7.1928959825099295,16.824991746004752,131,56.21047919029435,11.46251342596064,-32.60381028885102,1.928782328001484,7.6040287126870405,20.969062687831226,132,56.760817584035905,3.829222323875585,-2.0780494741411077,1.9476664041303522,7.678477267618191,21.217543854770852,138,58.609255331615465,10.745205288121673,-22.879825014049946,2.011092905973062,7.928529818471314
29,2-5,2020-09-05,39.823967,74.683918,12:58:38.402966,875670.65145,13.9373,-10.0231998785,39.3332063156,4024.905294436567,-2119.867689728884,9.898252596862352e+16,9.867829405225315e+16,450.0,1.8100000000000005,28.8675,0.0333371209969259,0.2732631099741187,18.8335,28.322000000000003,1.844994128265273,3.810922416773486,-3.2419250190517106,13.616694021279343,206,18.806308549479695,136,45.22385555138874,4.992722068246668,-17.814951410517864,1.5658257323552915,6.117782681535088,17.506213429032282,133,46.645684639578356,11.507144761956452,-29.627710274238954,1.6150549841772281,6.310124560965184,20.589827617665975,130,50.047776760276435,4.3845499567030135,-1.0252510469549492,1.7328486424463398,6.770352022848506,21.335233918334666,139,50.26862295313287,10.884175876788493,-20.322593954709678,1.7404951964044504,6.800227605048808
30,2-6,2020-09-05,39.9899,74.647508,12:58:41.161243,875670.65145,13.9373,-10.018859885,39.3749864753,4024.905294436567,-2119.867689728884,9.859522197258669e+16,9.828923603394938e+16,450.0,1.925833333333334,28.83666666666667,0.0457926816966387,0.20042946314594,16.291666666666668,28.46,1.478552535421045,4.927285486621073,-3.1203168050920125,11.091974912489128,206,19.074636140731673,135,50.26053646521925,3.7116220899450396,-13.011367898172827,1.7246185395752323,6.799133682933827,18.313123458255344,137,53.15443532163731,10.20355195703876,-25.149428996038225,1.8239185465078631,7.190613889343714,21.69661059313149,136,54.121704267666274,3.3136181305513372,1.661883854872472,1.8571089991850187,7.321463882875965,17.523312310177644,123,55.77479557959401,9.671408710168707,-16.152089788009448,1.9138324670320732,7.5450904020173
31,2-7,2020-09-05,40.15583,74.611098,12:58:43.919520,875670.65145,13.9373,-10.0150970212,39.3796048245,4024.905294436567,-2119.867689728884,9.81612621091918e+16,9.785380757733606e+16,450.0,1.835,28.853333333333328,0.0357601437187812,0.2685821357357255,12.420333333333334,28.971666666666664,0.7097311227969829,2.580334681134729,-3.2107775176222804,7.192677049869487,206,18.894133528959948,127,54.0524922459717,3.7194942985678465,-15.72231639614372,1.8671300470979582,7.3121010343856145,19.08175204624626,132,57.044689077294734,9.345419151050589,-27.904044182488093,1.9704892147968514,7.716878772400704,22.1468955199165,129,57.69827246577399,3.279904864000321,-5.93312278683228,1.9930658829985821,7.8052940807866475,19.41687512721727,125,59.51907903974327,9.081119641627804,-19.67809269640439,2.0559618295673476,8.051608747876381
32,2-8,2020-09-05,40.321524,74.572902,12:58:46.677797,875670.65145,13.9373,-10.0118633056,39.3658753292,4024.905294436567,-2119.867689728884,9.76989623882456e+16,9.739023049842547e+16,450.0,1.95,28.835555555555555,0.0343187671366233,0.1991858428704209,12.420333333333334,28.971666666666664,0.7097311227969829,2.580334681134729,-3.0928164051835223,7.194409161365851,206,19.26182003503772,132,52.58693171235534,4.356275840282568,-18.445212587069676,1.804445470518702,7.11384326219918,17.835686091981145,132,54.6830434220375,9.495801408654406,-30.14606151393025,1.8763705507064268,7.3974005962589615,21.48825548354266,130,56.49463670232055,3.7600300714244055,-7.582102689609494,1.9385327872656894,7.642468909452806,18.702040908759564,129,57.44525951256132,8.948706973602212,-21.418070902252893,1.9711520515630123,7.771067050727046
33,2-9,2020-09-05,40.48721,74.53463,12:58:49.436074,875670.65145,13.9373,-10.0104592372,39.3623890803,4024.905294436567,-2119.867689728884,9.724845835080656e+16,9.693835251046374e+16,450.0,1.9499999999999995,28.808333333333337,0.0491441910621338,0.1961446590471617,12.420333333333334,28.971666666666664,0.7097311227969829,2.580334681134729,-3.087380241195208,7.195161231196759,206,18.507567116790796,133,55.238246436557155,6.8273753027605215,-25.112051608710587,1.8954215493508915,7.472507226278703,17.82248747536274,130,58.43594711251468,11.407091097853629,-33.777077452928964,2.0051460819090456,7.905085067720735,20.143291160929664,127,60.49717801679492,5.772358714203132,-9.125349069062684,2.0758742770672347,8.183923803938645,19.69375701141787,126,62.51991277981944,10.850201624461116,-22.776062760290124,2.145281532108539,8.457554867714464
34,2-10,2020-09-05,40.652885,74.496272,12:58:52.194351,875670.65145,13.9373,-10.007128858,39.3837303168,4024.905294436567,-2119.867689728884,9.683291961607466e+16,9.661583128892688e+16,450.0,1.865,28.826666666666668,0.0384550111011278,0.2685821357357253,12.420333333333334,28.971666666666664,0.7097311227969829,2.580334681134729,-3.1726041286999385,7.196945085501297,206,17.691196923694182,133,55.59343482582652,4.463092938571263,-19.008579095349972,1.8898454611687525,7.454295914145791,22.699705086108068,136,58.45451343525502,8.053867870408771,-14.047361949669476,1.987105082579364,7.83792622328447,19.165382078473833,131,59.26510641318165,3.9494252079961085,-7.232448822744568,2.0146604128982974,7.946615314763067,22.885446828998578,132,60.956991708784145,7.091069022652681,-3.844943505270953,2.07217442973737,8.173473282537962
35,2-11,2020-09-05,40.818552,74.457828,12:58:54.952628,875670.65145,13.9373,-10.0052549907,39.3231691958,4024.905294436567,-2119.867689728884,9.644578371558042e+16,9.622832892288562e+16,450.0,1.98,28.791666666666668,0.051844756609312,0.1961446590471615,12.420333333333334,28.971666666666664,0.7097311227969829,2.580334681134729,-3.052333183503678,7.19794877620698,206,18.801908129643845,130,52.98299667036351,4.2568300162549475,-17.95438698769327,1.8119084597207264,7.104272956626385,20.854163151760346,132,55.675943613784305,7.019316787487696,-13.806892953043356,1.9040016529147845,7.465359179491451,20.50238778592638,130,56.66444777803442,3.5470811717151682,-7.515558037958772,1.9378064425686787,7.597903653056927,22.9911776568451,132,58.18155299640498,7.042395269093598,-6.500471167446664,1.9896882905613924,7.801326076335139
36,2-12,2020-09-05,40.98421,74.419302,12:58:57.710904,875670.65145,13.9373,-10.0024897035,39.3158210549,4024.905294436567,-2119.867689728884,9.612076174729603e+16,9.590262113217166e+16,450.0,1.895,28.78625,0.0541448674083394,0.2655811238272278,10.609,29.12677777777778,0.609882730075581,3.4371754392233167,-3.1337153189638576,5.388687079774568,206,19.137514794461055,125,48.0090023532675,3.493084105749717,-14.108761571823308,1.6473603615881047,6.494551151678131,21.239174170797916,128,50.483995830121316,6.219513407114224,-9.337169700868987,1.732286228594395,6.829362769241412,21.606569178669496,130,51.35632758272163,2.9650070269660405,-3.7311986096021084,1.7622190470440535,6.947369870218176,23.307726181240547,130,52.60378182741541,5.502087472710236,-0.07403325740251399,1.805023658155957,7.116122708319807
37,2-13,2020-09-05,41.149858,74.380685,12:59:00.469181,875670.65145,13.9373,-10.0003516366,39.2839558679,4024.905294436567,-2119.867689728884,9.576415882449037e+16,9.55454821709986e+16,450.0,1.8950000000000005,28.79916666666666,0.0416606056197705,0.2685821357357255,8.813666666666668,28.9645,0.6649507500559716,2.2099860331383696,-3.134888199047702,3.649950170016084,206,18.737787549059817,127,53.84084526522465,3.1319460610791166,-11.416943920341406,1.830267861101904,7.219298360177423,19.61526730606298,127,55.23200631399458,5.138093912309745,-0.5414646353567711,1.8775590457896358,7.405833445736609,24.025542707091912,140,57.74947029358406,2.5723347722959025,1.5648776974811693,1.96313781764261,7.743389876920549,25.37148700624647,138,58.08484415313413,4.863880041505314,6.479468451136876,1.974538530123357,7.788358783748987
